product_name,category,price,stock
Into,Clothing,306.06,29
Yourself,Clothing,77.08,12
Act,Clothing,441.15,31
Occur,Food,28.88,14
Teach,Electronics,361.57,52
Figure,Electronics,197.64,40
As,Food,233.12,36
During,Clothing,155.34,65
Foot,Clothing,162.93,16
Rock,Food,155.2,76
Trade,Electronics,492.09,30
Address,Clothing,353.37,88
Attorney,Food,174.83,90
Special,Clothing,257.28,58
Trade,Electronics,181.05,35
I,Electronics,323.9,83
Human,Electronics,446.55,20
Body,Food,470.75,69
Five,Electronics,379.79,96
Man,Clothing,485.36,60
